UniqueId,Name,Started,AcresBurned,PercentContained,Counties,CanonicalUrl
c52a1d4e-9f24-4105-94cb-e5f548591553,Hahn Fire,2011-07-19T15:57:00Z,80,100,Colusa,/incidents/2011/7/19/hahn-fire/
6362e2fb-fff1-40b1-999c-e0a03b218bf8,Whitewater Fire,2011-07-19T10:28:00Z,80,100,Riverside,/incidents/2011/7/19/whitewater-fire/
f8f7d8b8-15d5-48d7-8efd-84c216a4a817,198 Fire,2011-11-30T21:35:00Z,75,100,Monterey,/incidents/2011/11/30/198-fire/
d1f7143e-350b-446d-b021-88a2b7162660,Watts Fire,2011-08-29T13:00:00Z,75,100,Fresno,/incidents/2011/8/29/watts-fire/
130a4c9c-18c7-43d2-95a5-5d830b4692ba,Rosa Fire,2011-08-06T15:00:00Z,73,100,San Benito,/incidents/2011/8/6/rosa-fire/
093600e0-2280-413b-9abf-66d530ab9e12,Honey Fire,2011-09-24T14:00:00Z,70,100,Butte,/incidents/2011/9/24/honey-fire/
d34e97fe-1d3e-46cd-9fd1-aa4c9f617e60,Seven Fire,2011-05-14T13:45:00Z,70,100,San Luis Obispo,/incidents/2011/5/14/seven-fire/
5a854fcd-265c-42ef-8771-31b7f6c71d69,Florida Fire,2011-08-28T11:41:00Z,67,100,San Bernardino,/incidents/2011/8/28/florida-fire/
74a3948c-6430-40da-9dc5-6f3ae66eef29,Yager Fire,2011-11-10T11:08:00Z,60,100,Humboldt,/incidents/2011/11/10/yager-fire/
fd652478-7229-4cd9-83aa-6d30958cd0e8,Wildcat Fire,2011-08-29T15:07:00Z,60,100,San Diego,/incidents/2011/8/29/wildcat-fire/
f7e66575-72d1-4858-bbff-21757351d3fc,Freccero Fire,2011-09-07T16:23:00Z,57,100,Calaveras,/incidents/2011/9/7/freccero-fire/
a3380213-c592-4ced-84ac-012d25db0e78,San Diego County Lightning Fires,2011-09-30T14:33:00Z,56,100,San Diego,/incidents/2011/9/30/san-diego-county-lightning-fires/
7069ce1c-5726-45b1-bce9-225ed6dd274d,Banning Fire,2011-09-07T13:59:00Z,55,100,Riverside,/incidents/2011/9/7/banning-fire/
1d232192-9c79-4e49-b5f4-6d5b4bca444e,Sites Fire,2011-08-03T21:42:00Z,55,100,Colusa,/incidents/2011/8/3/sites-fire/
51d5973e-b4bd-4201-8c51-f3125c319157,Canyon Fire,2011-06-11T15:26:00Z,55,100,Riverside,/incidents/2011/6/11/canyon-fire/
4e83b013-c626-47bf-9081-80054827117c,Mill Fire,2011-10-21T14:27:00Z,42,100,San Bernardino,/incidents/2011/10/21/mill-fire/
c7e0622f-8fd2-4324-bb3a-d9e1d1eac48f,West Fire,2011-09-23T14:30:00Z,40,100,Fresno,/incidents/2011/9/23/west-fire/
3babbd3f-53ec-4ddb-a61e-ada09d8d7842,Branch 2 Fire,2011-09-09T16:39:00Z,40,100,Mariposa,/incidents/2011/9/9/branch-2-fire/
1af1847e-2aa0-4220-861d-b37556f2398c,School Fire,2011-07-13T14:04:00Z,40,100,Riverside,/incidents/2011/7/13/school-fire/
0806934b-7304-41d4-838c-7dd1a67c52c0,Barn Fire,2011-08-06T14:30:00Z,36,100,San Benito,/incidents/2011/8/6/barn-fire/
0806934b-7304-41d4-838c-7dd1a67c52c0,Barn Fire,2011-08-06T14:30:00Z,36,100,Monterey,/incidents/2011/8/6/barn-fire/
91c24c4c-d84e-49f2-8bf6-196d5ae810e8,Pony Fire,2011-07-21T12:25:00Z,35,100,Riverside,/incidents/2011/7/21/pony-fire/
502cfc51-7eba-47ee-a2f6-1efcc4d331d2,Wheelabrator Fire,2011-06-27T16:45:00Z,35,100,Shasta,/incidents/2011/6/27/wheelabrator-fire/
0df8d22d-19f1-4d6c-bbd2-ef39a90175ff,Revis Fire,2011-07-24T13:00:00Z,30,100,Madera,/incidents/2011/7/24/revis-fire/
