UniqueId,Name,Started,AcresBurned,PercentContained,Counties,CanonicalUrl,ExternalIncidentLink
726eeb97-b91c-4555-a180-be16e599466f,Washington Fire,2021-08-26T13:20:00Z,100,100,Tuolumne,/incidents/2021/8/26/washington-fire/,NA
caf0f448-cdb3-4dc2-a247-35f6f4b41cb3,Park Fire,2021-07-26T00:00:00Z,100,100,Tulare,/incidents/2021/7/26/park-fire/,NA
5afc3e64-eb8a-4aad-9bb5-1f9a20f84bb0,Fields Fire,2021-05-14T14:00:00Z,97,100,Merced,/incidents/2021/5/14/fields-fire/,NA
92aa05b8-83d8-45ec-b079-86d7698086a5,Luis Fire,2021-04-24T14:50:00Z,93,100,Merced,/incidents/2021/4/24/luis-fire/,NA
82af1b59-858c-43c4-9f4f-842605e6c0c1,Basalt Fire,2021-07-09T13:26:01Z,92,100,Merced,/incidents/2021/7/9/basalt-fire/,NA
f4c4de41-d8d4-4c66-9d9f-4f1ba285bf59,Road Fire,2021-07-10T13:38:19Z,86,100,San Diego,/incidents/2021/7/10/road-fire/,NA
21a360ea-3a4e-4267-986e-3bb1416ca05b,Grapevine Fire,2021-03-14T18:35:00Z,86,100,Kern,/incidents/2021/3/14/grapevine-fire/,NA
ef12ac40-d6fb-4871-97ec-c06d0ce51efd,Evans Fire,2021-07-29T19:14:42Z,85,100,Plumas,/incidents/2021/7/29/evans-fire/,NA
8e3e3fe1-669f-4cf8-80ee-c8df14929a22,Cache Fire,2021-08-18T12:34:00Z,83,100,Lake,/incidents/2021/8/18/cache-fire/,https://twitter.com/lakecountyoes?lang=en
8c512c44-7ddb-44b4-bf03-bab00c0c0c98,Broiler Fire,2021-07-07T14:30:00Z,80,100,Mendocino,/incidents/2021/7/7/broiler-fire/,NA
81d9dc1d-9cff-4a22-a6c6-2a4f94cf30ed,River Fire,2021-04-19T20:29:35.617Z,80,100,Sutter,/incidents/2021/4/19/river-fire/,NA
9128e6fe-a114-479a-a43c-64ea56411eb5,Sky Fire,2021-06-27T17:49:34Z,76,100,Butte,/incidents/2021/6/27/sky-fire/,NA
be285500-c0c4-4f7e-83ae-1f9a991578b1,Fish Fire,2021-07-04T17:46:54Z,75,100,Fresno,/incidents/2021/7/4/fish-fire/,NA
e208c4a4-1477-4bfd-9fcd-c2d10271e617,University Fire,2021-09-22T11:27:08Z,71,100,San Bernardino,/incidents/2021/9/22/university-fire/,NA
4fde57bd-089f-4c24-b224-b60306e1648d,Bear Fire,2021-07-11T13:29:14Z,71,100,Kern,/incidents/2021/7/11/bear-fire/,NA
6a36efca-0cb1-465f-be4d-06b3e3b528c1,Caballo Fire,2021-09-06T14:54:06Z,70,100,Santa Barbara,/incidents/2021/9/6/caballo-fire/,NA
0e78a6e0-9315-4b29-8a1c-894d4b06a64e,Goose Fire,2021-06-13T16:01:34Z,67,100,Amador,/incidents/2021/6/13/goose-fire/,NA
cd7d799d-cc81-4ffb-9d55-4e2b18b92d34,Railroad Fire,2021-08-29T12:50:00Z,61,100,San Bernardino,/incidents/2021/8/29/railroad-fire/,https://inciweb.nwcg.gov/incident/7824/
16f4a871-6b4e-493c-ada9-cff37913e521,Canal Fire ,2021-10-14T16:49:00Z,59,100,Trinity,/incidents/2021/10/14/canal-fire/,NA
2ea37798-e198-4f1c-92c6-81c42beff3de,Hambone Fire,2021-08-06T11:11:37Z,55,100,Siskiyou,/incidents/2021/8/6/hambone-fire/,NA
35d04cb5-0455-4d36-b857-d7952670aef0,Chicken Fire,2021-07-18T13:34:00Z,55,100,Lassen,/incidents/2021/7/18/chicken-fire/,NA
257ee7b8-fe14-45ac-ba58-4fae7003f6de,Aruba Fire,2021-09-05T15:50:14Z,54,100,San Diego,/incidents/2021/9/5/aruba-fire/,NA
bd71d34c-3ce0-419d-a2fe-2ef46a750e06,Antonio Fire,2021-08-03T13:02:00Z,50,100,Los Angeles,/incidents/2021/8/3/antonio-fire/,NA
61f3264e-f89f-42cc-820d-0e0a5ee29cdd,Hiding Fire,2021-08-01T00:00:00Z,50,100,Shasta,/incidents/2021/8/1/hiding-fire/,NA
